H|1402|892.18|
N|468|8681598|210202961|11|72|Minute|PACKAGE SURCHARGE|RDYA|0.72|USD|2012-01-08 17:01:04|2012-01-08 18:13:01|MTN|TX02S||3153864034|18008999949||Participant 6|
M|468|8681598|ALL CONFERENCING|356177|598151|ALL CONFERENCING|1580171|ALL CONFERENCING, 1892165|3026365454||SUITE 200|11833 MISSISSIPPI AVENUE||LOS ANGELES||CA|900256136||||000000000|DIRE|11|1892165||||N|N|N|N|N|N|00|N|N|
C|468|8681598|210096873|||2012-01-06 08:57:38|MTN|2012-01-06 10:12:59|MTN||||||0|780315|8008999949|1606955|
B|468|8681598|210096873|1|76|Minute|LONG DISTANCE|L8R|0.38|USD|2012-01-06 08:57:42|2012-01-06 10:12:53|MTN|GX2BS||5136210279|18008999949||Participant 1|
N|468|8681598|210096873|2|76|Minute|PACKAGE SURCHARGE|RDYA|0.76|USD|2012-01-06 08:57:42|2012-01-06 10:12:53|MTN|GX2BS||5136210279|18008999949||Participant 1|
B|468|8681598|210096873|3|37|Minute|LONG DISTANCE|L8R|0.19|USD|2012-01-06 08:59:32|2012-01-06 09:36:21|MTN|GX2BS||5133075748|18008999949||Participant 2|
N|468|8681598|210096873|4|37|Minute|PACKAGE SURCHARGE|RDYA|0.37|USD|2012-01-06 08:59:32|2012-01-06 09:36:21|MTN|GX2BS||5133075748|18008999949||Participant 2|
B|468|8681598|210096873|5|73|Minute|LONG DISTANCE|L8R|0.37|USD|2012-01-06 09:00:31|2012-01-06 10:12:59|MTN|GX2BS||3107108510|18008999949||Participant 3|
N|468|8681598|210096873|6|73|Minute|PACKAGE SURCHARGE|RDYA|0.73|USD|2012-01-06 09:00:31|2012-01-06 10:12:59|MTN|GX2BS||3107108510|18008999949||Participant 3|
M|468|8681598|ALL CONFERENCING|356177|598151|ALL CONFERENCING|1580704|ALL CONFERENCING, 3726282|3026365454||SUITE 200|11833 MISSISSIPPI AVENUE||LOS ANGELES||CA|900256136||||000000000|DIRE|11|3726282||||N|N|N|N|N|N|00|N|N|
C|468|8681598|210119656|||2012-01-06 11:55:30|MTN|2012-01-06 12:20:45|MTN||||||0|780850|8008999949|1436545|
B|468|8681598|210119656|1|26|Minute|LONG DISTANCE|L8R|0.13|USD|2012-01-06 11:55:35|2012-01-06 12:20:46|MTN|NX2BS||3173632400|18008999949||ALL CONFERENCING|
N|468|8681598|210119656|2|26|Minute|PACKAGE SURCHARGE|RDYA|0.26|USD|2012-01-06 11:55:35|2012-01-06 12:20:46|MTN|NX2BS||3173632400|18008999949||ALL CONFERENCING|
